CWNS_NUM,REPORT_YEAR,2042_IND,WERF_CODE,FINAL_UNIT_PROCESS_NAME
01000002001,2004.0,1.0,DISINF,"Disinfection, Chlorination"
01000002001,2004.0,1.0,STBL_POND,"Pond, Stabilization"
01000003001,2004.0,1.0,AS-EA,"Activated Sludge, Extended Aeration"
01000003001,2012.0,1.0,CHEM-P,"Phosphorus Removal, Chemical"
01000004001,2004.0,1.0,AS,"Activated Sludge, Conventional"
01000004001,2004.0,1.0,AND,"Biosolids Anaerobic Digestion, Other"
01000004002,2004.0,1.0,AS-EA,"Activated Sludge, Extended Aeration"
01000004002,2004.0,1.0,AS,"Activated Sludge, Other Mode"
01000004002,2004.0,1.0,AND,"Biosolids Anaerobic Digestion, Other"
01000004002,2004.0,1.0,DISINF,"Disinfection, Chlorination"
01000005001,2012.0,1.0,LAGOON_AER,"Lagoon, Aerated"
01000006004,2004.0,1.0,AS-EA,"Activated Sludge, Extended Aeration"
01000006004,2004.0,1.0,AED,"Biosolids Aerobic Digestion, Air"
01000006004,2004.0,1.0,DISINF,"Disinfection, Chlorination"
01000006004,2012.0,1.0,BNR,Biological Nutrient Removal
01000006004,2012.0,1.0,NIT,"Nitrification, Biological (Other)"
01000006004,2012.0,1.0,CHEM-P,"Phosphorus Removal, Chemical"
01000007001,2004.0,1.0,DISINF,"Disinfection, Chlorination"
01000007001,2004.0,1.0,PRIMARY,"Sedimentation, Primary"
01000007001,2008.0,1.0,DEWATER,Biosolids Mechanical Dewatering (Centrifuge)
01000007001,2012.0,1.0,AS,"Activated Sludge, Conventional"
01000007001,2013.0,1.0,AND,"Biosolids Anaerobic Digestion, Other"
01000007002,2004.0,1.0,AS-EA,"Activated Sludge, Extended Aeration"
01000007002,2004.0,1.0,DISINF,"Disinfection, Chlorination"
01000007002,2004.0,1.0,PRIMARY,Other Preliminary Or Primary Treatment
01000007002,2004.0,1.0,TF,"Trickling Filter, Plastic Media"
01000009001,2004.0,1.0,AS,"Activated Sludge, Conventional"
01000009001,2004.0,1.0,AED,"Biosolids Aerobic Digestion, Air"
01000009002,2004.0,1.0,AS-EA,"Activated Sludge, Extended Aeration"
01000009002,2004.0,1.0,AED,"Biosolids Aerobic Digestion, Air"
01000009002,2004.0,1.0,DISINF,"Disinfection, Chlorination"
01000010001,2004.0,1.0,AS,"Activated Sludge, Contact Stabilization"
01000010001,2004.0,1.0,AED,"Biosolids Aerobic Digestion, Air"
01000010001,2004.0,1.0,DISINF,"Disinfection, Chlorination"
01000010001,2004.0,1.0,AS-OD,Reactor (Oxidation Ditch)
01000010001,2012.0,1.0,NIT,"Nitrification, Biological (Other)"
01000011001,2004.0,1.0,STBL_POND,"Pond, Stabilization"
01000011001,2004.0,1.0,DISINF,"Disinfection, Chlorination"
01000012001,2012.0,1.0,CHEM-P,"Phosphorus Removal, Chemical"
01000013001,2004.0,1.0,AS,"Activated Sludge, Conventional"
01000013001,2004.0,1.0,AND,"Biosolids Anaerobic Digestion, Other"
01000013001,2004.0,1.0,PRIMARY,"Sedimentation, Primary"
01000013001,2004.0,1.0,STBL_POND,"Pond, Stabilization"
01000013001,2012.0,1.0,CHEM-P,"Phosphorus Removal, Chemical"
01000014001,2004.0,1.0,AS-EA,"Activated Sludge, Extended Aeration"
01000014001,2004.0,1.0,AND,"Biosolids Anaerobic Digestion, Other"
01000014001,2004.0,1.0,DISINF,"Disinfection, Chlorination"
01000014001,2004.0,1.0,PRIMARY,"Sedimentation, Primary"
01000014001,2012.0,1.0,BNR,Biological Nutrient Removal
01000014001,2012.0,1.0,NIT,"Nitrification, Biological (Other)"
01000014001,2012.0,1.0,CHEM-P,"Phosphorus Removal, Chemical"
01000014002,2004.0,1.0,AS,"Activated Sludge, Conventional"
01000014002,2004.0,1.0,AS-EA,"Activated Sludge, Extended Aeration"
01000014002,2004.0,1.0,AND,"Biosolids Anaerobic Digestion, Other"
01000014002,2004.0,1.0,PRIMARY,"Sedimentation, Primary"
01000014002,2004.0,1.0,TF,"Trickling Filter, Rock Media"
01000014002,2012.0,1.0,CHEM-P,"Phosphorus Removal, Chemical"
01000015001,2004.0,1.0,DISINF,"Disinfection, Chlorination"
01000015001,2004.0,1.0,STBL_POND,"Pond, Stabilization"
01000016001,2004.0,1.0,AS,"Activated Sludge, Conventional"
01000016001,2004.0,1.0,AND,"Biosolids Anaerobic Digestion, Other"
01000016001,2004.0,1.0,PRIMARY,"Sedimentation, Primary"
01000016002,2004.0,1.0,AS-EA,"Activated Sludge, Extended Aeration"
01000017001,2004.0,1.0,AS,"Activated Sludge, Conventional"
01000017001,2004.0,1.0,AED,"Biosolids Aerobic Digestion, Air"
01000017001,2004.0,1.0,PRIMARY,"Sedimentation, Primary"
01000021001,2004.0,1.0,AS-EA,"Activated Sludge, Extended Aeration"
01000021001,2004.0,1.0,DISINF,"Disinfection, Chlorination"
01000021001,2004.0,1.0,PRIMARY,"Sedimentation, Primary"
01000021001,2004.0,1.0,TF,"Trickling Filter, Rock Media"
01000021001,2013.0,1.0,AND,"Biosolids Anaerobic Digestion, Other"
01000023001,2004.0,1.0,AS-EA,"Activated Sludge, Extended Aeration"
01000023001,2004.0,1.0,STBL_POND,"Pond, Stabilization"
01000023390,2012.0,1.0,CHEM-P,"Phosphorus Removal, Chemical"
01000027001,2004.0,1.0,DISINF,"Disinfection, Chlorination"
01000027001,2004.0,1.0,PRIMARY,"Sedimentation, Primary"
01000027001,2008.0,1.0,BIO-P,"Phosphorus Removal, Biological"
01000027001,2008.0,1.0,DEWATER,Biosolids Other Dewatering
01000027001,2008.0,1.0,DISINF-UV,"Disinfection, UV Radiation"
01000027001,2012.0,1.0,AS-EA,"Activated Sludge, Extended Aeration"
01000027001,2012.0,1.0,NIT,"Nitrification, Biological (Other)"
01000027001,2012.0,1.0,CHEM-P,"Phosphorus Removal, Chemical"
01000027002,2008.0,1.0,BIO-P,"Phosphorus Removal, Biological"
01000027002,2008.0,1.0,PRIMARY,"Sedimentation, Primary"
01000027002,2012.0,1.0,AS-EA,"Activated Sludge, Extended Aeration"
01000027002,2012.0,1.0,CHEM-P,"Phosphorus Removal, Chemical"
01000028001,2004.0,1.0,STBL_POND,"Pond, Stabilization"
01000029001,2004.0,1.0,DISINF,"Disinfection, Chlorination"
01000029001,2004.0,1.0,STBL_POND,"Pond, Stabilization"
01000031001,2004.0,1.0,STBL_POND,"Pond, Stabilization"
01000032001,2004.0,1.0,DISINF,"Disinfection, Chlorination"
01000032001,2004.0,1.0,STBL_POND,"Pond, Stabilization"
01000034001,2004.0,1.0,STBL_POND,"Pond, Stabilization"
01000034001,2012.0,1.0,CHEM-P,"Phosphorus Removal, Chemical"
01000035001,2004.0,1.0,AS,"Activated Sludge, Conventional"
01000035001,2004.0,1.0,LAND_TRT,"Land Application, Slow Rate, W/O Underdrain"
01000035001,2004.0,1.0,STBL_POND,"Pond, Stabilization"
