City_name,State,Volume (MG),Electricity (kWh),Natural Gas (therm),Fuel oil (gal),Biogas generation (therms),Population,Total (kWhe),Volume (Mm3),Elect_Intensity_kWh/m3,Elect_PC_kwh/cap/yr,Energy_intens_kWh/m3,Energy_intens_kWh/cap
AlbanyNY,NY,7487.47125,6684000,286000,,0,170007,10454910,28.34007868,0.235849733,39.31602816,0.368908997,61.49693836
AlexandriaVA,VA,12180.388,40340305.16,514570,,841746.93,"563,000",47124910.61,46.10276858,0.8750083,71.65240703,1.022170947,83.703216
AmarilloTX,TX,6243,10388651,0,,0,195550,10388651,23.629755,0.439642772,53.12529276,0.439642772,53.12529276
AnchorageAK,AK,10819.439,6400604,642257.535,,0,233271,14868769.6,40.95157662,0.156296888,27.43849,0.363081738,63.74032606
AugustaGA,GA,11821.78,22970693,95952,,0,160000,24235820.12,44.7454373,0.513363918,143.5668313,0.541637798,151.4738758
AustinTX,TX,37562.884,63911960,0,,0,977491,63911960,142.1755159,0.449528596,65.38368128,0.449528596,65.38368128
BakersfieldCA,CA,11390.97432,18126712,166665,,10681.1,357603,20324190.03,43.1148378,0.420428626,50.68948527,0.471396648,56.83450651
BaltimoreMD,MD,68515,105698135,94316,,24530,1800000,106941691.5,259.329275,0.407582734,58.72118611,0.412378014,59.41205083
BeaumontTX,TX,7893.25,6687482,0,,0,116894,6687482,29.87595125,0.223841643,57.20979691,0.223841643,57.20979691
BillingsMT,MT,5072,7731023,14108,,0,100000,7917036.98,19.19752,0.402709465,77.31023,0.412398944,79.1703698
BoiseID,ID,10080,0,89989,,0,270900,1186504.965,38.1528,0,0,0.031098765,4.379863289
BostonMA,MA,106794,128932724,93038,365589,0,2176445,137381640.7,404.21529,0.318970428,59.24005615,0.339872449,63.12203649
BridgeportCT,CT,10961.8,16821000,108747,,0,146728,18254829.2,41.490413,0.405418958,114.6406957,0.439977042,124.4127174
BuffaloNY,NY,41314,56110868,1692810,,1062219,450000,78430567.85,156.37349,0.358825962,124.6908178,0.501559234,174.2901508
BurlingtonVT,VT,1374.04,1631128,0,,0,45000,1631128,5.2007414,0.313633745,36.24728889,0.313633745,36.24728889
CharlestonWV,WV,4421.57,0,32390,,0,53000,427062.15,16.73564245,0,0,0.025518121,8.057776415
CharlotteNC,NC,28548,95439533,0,,0,800000,95439533,108.05418,0.883256279,119.2994163,0.883256279,119.2994163
ChicagoIL,IL,393294,446756585,1245632,,1662078,5150000,463180242.9,1488.61779,0.300115038,86.74885146,0.311147862,89.93791124
CincinnatiOH,OH,37368,66671047,1538810,,0,504000,86960256.85,141.43788,0.471380418,132.2838234,0.614830036,172.5401922
ClevelandOH,OH,79048,135627499,12632184,,0,967200,302182845,299.19668,0.453305495,140.2269427,1.009980609,312.4305676
ColoradoSpringsCO,CO,12057,29033697,0,,0,510000,29033697,45.635745,0.636205172,56.92881765,0.636205172,56.92881765
ColumbiaSC,SC,11752.81,19762169,0,,0,150000,19762169,44.48438585,0.444249564,131.7477933,0.444249564,131.7477933
ColumbusOH,OH,56130,100545852,1709125,,0,787033,123080665.1,212.45205,0.473263741,127.753032,0.579333855,156.3856472
DallasTX,TX,30474,53311241,0,,0,1200000,53311241,115.34409,0.462193087,44.42603417,0.462193087,44.42603417
DaytonOH,OH,14479.158,31584108,41433,,0,330000,32130402.11,54.80361303,0.576314339,95.70941818,0.586282552,97.36485488
DenverCO,CO,45636,83947883.45,495970,,6171819,1700000,90487247.9,172.73226,0.486000029,49.38110791,0.523858415,53.22779288
DetroitMI,MI,213579,182551487,16591555.44,,0,2800000,401311145.4,808.396515,0.22581924,65.19695964,0.496428594,143.3254091
DuluthMN,MN,13070,28884476.92,296564,,1258609,108813,32794673.26,49.46995,0.583879242,265.4506072,0.662921092,301.3856181
ElPasoTX,TX,22543,63293347,815521,,1401414,674124,74045991.39,85.325255,0.741789134,93.88976954,0.867808615,109.8403133
EugeneOR,OR,15201,12116739,0,,971493,220000,12116739,57.535785,0.210594832,55.07608636,0.210594832,55.07608636
FargoND,ND,4388.575,0,0,,313124.4558,111722,0,16.61075638,0,0,0,0
FortCollinsCO,CO,4679.467188,10147200,121032,,0,148700,11743006.92,17.71178331,0.572906738,68.2394082,0.66300534,78.97112925
FortWayneIN,IN,14960.198,18501600,156646.7,,0,254688,20566986.74,56.62434943,0.326742827,72.6441764,0.363218067,80.75365443
FortWorthTX,TX,39473.99203,66906902.45,128389.86,,1738362.75,1092355,68599722.75,149.4090598,0.44781021,61.25014528,0.459140315,62.79984323
GreensboroNC,NC,7178.42,44812972,89713,,0,276566,45995837.91,27.1703197,1.64933547,162.0335544,1.692870692,166.3105295
GreenvilleSC,SC,6687.1706,31351162.99,46939,,483019,459324,31970053.7,25.31094072,1.238640766,68.25500734,1.263092275,69.60240201
HarrisburgPA,PA,8197.2,13780320,31400.1,8497,328366.843,66540,14362188.55,31.026402,0.444148181,207.0982867,0.462902162,215.8429298
HonoluluHI,HI,9148.516,11731200,0,,74995.61,316000,11731200,34.62713306,0.338786349,37.12405063,0.338786349,37.12405063
JacksonvilleFL,FL,163700.178,277955096,0,,0,670326,277955096,619.6051737,0.448600347,414.656594,0.448600347,414.656594
KalamazooMI,MI,9051.95,22816000,12730,,0,150000,22983845.05,34.26163075,0.665934443,152.1066667,0.670833365,153.2256337
KansasCityMO,MO,38912,239355336,0,,0,464300,239355336,147.28192,1.62515084,515.5187077,1.62515084,515.5187077
LasVegasNV,NV,14426.1,35632553.6,77811,,1443985.717,586400,36658491.64,54.6027885,0.652577544,60.76492769,0.671366658,62.51448097
LincolnNE,NE,9680.244938,15419746.5,118651.23,,882437.5954,258379,16984162.97,36.63972709,0.420847744,59.67879162,0.463545018,65.73352699
LittleRockAR,AR,11360.64,3598146,94360,,669064.5,193524,4842282.6,43.0000224,0.08367777,18.59276369,0.112611165,25.02161282
LosAngelesCA,CA,128832,218571491,0,,0,4000000,218571491,487.62912,0.448233057,54.64287275,0.448233057,54.64287275
