Method,National Electricity Consumption (TWh/year),National Energy Consumption (TJ/year),National Electricity Generation (TWh/year)
Flow,24.397340495207665,,
Effluent A,29.003872689002986,,
Effluent B,19.452404033125,,
Configuration A (T),11.25903185431075,49849.97404240812,0.387497913435
Configuration B (T),18.49874171736194,82656.60132152654,0.8956586623854867
Configuration A (BP),7.5991348456029995,34384.744724553544,0.505119366375
Configuration B (BP),12.135743507054455,56446.17823856352,1.15113685471929
Process A,36.00873448890066,,
Process B,29.731661822247023,,
Biogas A,,,1.1364992752827705
Biogas B,,,1.310706643888605
Biogas C,,,3.8852654711815555
Regression,,220735.56071669923,
